description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Hamburguesa Angus BON BEEF Caja 4un,BON BEEF,S/ 51.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,51.9
Hamburguesa Angus BELL'S SELECCIÓN Paquete 4un,BELL'S SELECCIÓN,S/ 40.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,40.9
Hamburguesa Gluten Free FLEXFOOD Caja 240g,FLEXFOOD,S/ 20.50,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,240.0,g,20.5
Hamburguesa de Garbanzos DELLANATURA Caja 400g,DELLANATURA,S/ 16.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,400.0,g,16.9
Hamburguesa de Quinua DELLANATURA Caja 400g,DELLANATURA,S/ 22.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,400.0,g,22.9
Hamburguesa Veggie BON BEEF Caja 600g,BON BEEF,S/ 23.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,600.0,g,23.9
Hamburguesa de Pescado BELL'S Caja 500g,BELL'S,S/ 17.40,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,500.0,g,17.4
Hamburguesa Premium Cong LA FLORENCIA x kg,LA FLORENCIA,S/ 27.20,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,1.0,kg,27.2
Hamburguesa Parrillera de Pollo AVINKA Caja 4un,AVINKA,S/ 20.40,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,20.4
Hamburguesa de Lentejas DELLANATURA Caja 400g,DELLANATURA,S/ 20.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,400.0,g,20.9
Hamburguesa Angus Rellena de Queso Cheddar BON BEFF Paquete 4un,BON BEEF,S/ 54.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,4.0,un,54.9
Pan Hamburguesa Brioche DON MAMINO 600g,DON MAMINO,S/ 12.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,600.0,g,12.9
Pan Hamburguesa Brioche LA FLORENCIA Bolsa 340g,LA FLORENCIA,S/ 9.10,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,340.0,g,9.1
Mix Mini Hamburguesas SANÚA Caja 500g,SANUA,S/ 21.19,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,500.0,g,21.19
Pan Hamburguesa BIMBO Bolsa 8un,BIMBO,S/ 10.50,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,8.0,un,10.5
Pan Hamburguesa BIMBO Artesano Brioche Bolsa 360g,BIMBO,S/ 10.60,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,360.0,g,10.6
Pan con Hamburguesa Queso y Tocino x un,VIVANDA,S/ 7.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,1.0,un,7.9
Pan Hamburguesa LA FLORENCIA Bolsa 405g,LA FLORENCIA,S/ 5.00,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,405.0,g,5.0
Mini Hamburguesas BEST MEATS Carne Angus Caja 600g,BEST MEATS,S/ 58.10,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,600.0,g,58.1
Mini Hamburguesa Parrillera OTTO KUNZ Caja 600g,OTTO KUNZ,S/ 30.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,600.0,g,30.9
Papas Peruanas INKA CHIPS Bembos Hamburguesa Bolsa 120g,INKA CHIPS,S/ 8.30,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,120.0,g,8.3
Mini Hamburguesa Angus BON BEEF Caja 8un,BON BEEF,S/ 36.80,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,8.0,un,36.8
Rodajas de Pepinillo en Conserva HENGSTENBERG Para Hamburguesas Frasco 330g,HENGSTENBERG,S/ 33.80,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,330.0,g,33.8
Mini Hamburguesa Angus BELL'S SELECCIÓN Paquete 10un,BELL'S SELECCIÓN,S/ 30.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,10.0,un,30.9
Queso para Hamburguesa en Tajadas PRESIDENT 200g,PRESIDENT,S/ 16.90,vivanda,HAMBURGUESA,2024-12-04 17:30:35.099051,200.0,g,16.9
