description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Edulcorante en Tabletas Sugafor 600un,S/ 63.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,600.0,un,63.9
Edulcorante en Polvo Stevia Pote 120 g,S/ 35.30,metro,EDULCORANTE,2024-12-04 21:57:05.869358,120.0,g,35.3
Edulcorante en Tabletas Sugafor 110un,S/ 22.50,metro,EDULCORANTE,2024-12-04 21:57:05.869358,110.0,un,22.5
Edulcorante en Polvo Sugafor 200un,S/ 71.10,metro,EDULCORANTE,2024-12-04 21:57:05.869358,200.0,un,71.1
Edulcorante en Polvo Sugafor 100un,S/ 41.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,100.0,un,41.9
Edulcorante en Tabletas Sugafor 440un,S/ 50.30,metro,EDULCORANTE,2024-12-04 21:57:05.869358,440.0,un,50.3
Edulcorante en Polvo Stevita Caja 50 Unid,S/ 18.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,50.0,un,18.9
Edulcorante en Polvo Stevita Caja 100 Unid,S/ 32.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,100.0,un,32.9
Edulcorante en Polvo Sugafor 50un,S/ 27.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,50.0,un,27.9
Edulcorante en Polvo Stevita 150un,S/ 47.40,metro,EDULCORANTE,2024-12-04 21:57:05.869358,150.0,un,47.4
Azúcar Rubia Metro 5kg,S/ 20.50,metro,EDULCORANTE,2024-12-04 21:57:05.869358,5.0,kg,20.5
Azúcar Rubia Máxima Bolsa 5 kg,S/ 20.30,metro,EDULCORANTE,2024-12-04 21:57:05.869358,5.0,kg,20.3
Azúcar Rubia Metro Bolsa 2 Kg,S/ 8.60,metro,EDULCORANTE,2024-12-04 21:57:05.869358,2.0,kg,8.6
Azúcar Rubia Paramonga Bolsa 5 kg,S/ 22.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,5.0,kg,22.9
Azúcar Rubia Máxima 1kg,S/ 4.40,metro,EDULCORANTE,2024-12-04 21:57:05.869358,1.0,kg,4.4
Azúcar Rubia Dulfina Bolsa 5 kg,S/ 22.80,metro,EDULCORANTE,2024-12-04 21:57:05.869358,5.0,kg,22.8
Azúcar Rubia Metro 1kg,S/ 4.60,metro,EDULCORANTE,2024-12-04 21:57:05.869358,1.0,kg,4.6
Azúcar Blanca Metro Bolsa 5 kg,S/ 23.90,metro,EDULCORANTE,2024-12-04 21:57:05.869358,5.0,kg,23.9
Azúcar Blanca Metro Bolsa 2 Kg,S/ 9.80,metro,EDULCORANTE,2024-12-04 21:57:05.869358,2.0,kg,9.8
Azúcar Rubia Dulfina Bolsa 2 kg,S/ 9.50,metro,EDULCORANTE,2024-12-04 21:57:05.869358,2.0,kg,9.5
Azúcar Blanca Metro Bolsa 1 kg,S/ 4.99,metro,EDULCORANTE,2024-12-04 21:57:05.869358,1.0,kg,4.99
Azúcar Rubia Paramonga 1kg,S/ 5.20,metro,EDULCORANTE,2024-12-04 21:57:05.869358,1.0,kg,5.2
Azúcar Rubia Dulfina Bolsa 1 kg,S/ 5.10,metro,EDULCORANTE,2024-12-04 21:57:05.869358,1.0,kg,5.1
Azúcar Rubia Cuisine & Co 5kg,S/ 21.50,metro,EDULCORANTE,2024-12-04 21:57:05.869358,5.0,kg,21.5
