description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Culantro BELL'S Bolsa 60g,,60.0,g,1.99,plaza_vea,2024-12-04 14:24:33.864713,CULANTRO,60.0,g,1.99,CULANTRO
Salsa de Culantro 100 g,SIBARITA,100.0,g,2.7,tottus,2024-12-04 13:50:44.509477,CULANTRO,100.0,g,2.7,CULANTRO
Culantro BADIA Deshidratado Bolsa 7.1g,,7.1,g,4.4,plaza_vea,2024-12-04 14:24:33.864713,CULANTRO,7.1,g,4.4,CULANTRO
Culantro molido 190 g,TOTTUS,190.0,g,5.3,tottus,2024-12-04 13:50:44.509477,CULANTRO,190.0,g,5.3,CULANTRO
Culantro en Pasta Wong Pote 250 g,,250.0,g,7.5,metro,2024-12-04 22:04:15.959175,CULANTRO,250.0,g,7.5,CULANTRO
Culantro en Pasta Pote 250 g,,250.0,g,8.2,metro,2024-12-04 22:04:15.959175,CULANTRO,250.0,g,8.2,CULANTRO
Culantro en Pasta Wong Pote 250 g,,250.0,g,9.5,wong,2024-12-04 20:18:49.748857,CULANTRO,250.0,g,9.5,CULANTRO
Salsa De Culantro Con Espinaca Culantrito Sibarita Doypack 250 g,,250.0,g,9.8,metro,2024-12-04 22:04:15.959175,CULANTRO,250.0,g,9.8,CULANTRO
Salsa De Culantro Con Espinaca Culantrito Sibarita Doypack 250 g,,250.0,g,9.8,wong,2024-12-04 20:18:49.748857,CULANTRO,250.0,g,9.8,CULANTRO
Salsa de Culantro SIBARITA Culantrito Doypack ...,,550.0,g,15.2,plaza_vea,2024-12-04 14:24:33.864713,CULANTRO,550.0,g,15.2,CULANTRO
Sazonador Goya Culantro y Achiote 40g,,40.0,g,15.4,wong,2024-12-04 20:18:49.748857,CULANTRO,40.0,g,15.4,CULANTRO
Salpimienta Culantro y Limón Badia 227g,,227.0,g,20.1,wong,2024-12-04 20:18:49.748857,CULANTRO,227.0,g,20.1,CULANTRO
