description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Cereal VEGA Aritos Frutados Bolsa 20g,S/ 0.50,vega,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:17:08.620683,20.0,g,Cereal VEGA Aritos Frutados Bolsa,0.5,vega,,Vega,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Cereal ÁNGEL Copix Chocolate Bolsa 18g,S/ 0.80,vega,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:17:08.620683,18.0,g,Cereal ÁNGEL Copix Chocolate Bolsa,0.8,vega,,Angel,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Piña para Jugo x kg,S/ 2.42 x kg,metro,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 20:54:40.266422,1.0,kg,Piña para Jugo,2.42,metro,,,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Camote Amarillo Procesado,S/ 2.79 x kg,plaza_vea,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:11:00.538759,1.0,kg,Camote Amarillo Procesado,2.79,plaza_vea,Presentación 1 kg aprox.,,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Cereal VEGA Aritos Frutados Bolsa 140g,S/ 2.90,vega,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:17:08.620683,140.0,g,Cereal VEGA Aritos Frutados Bolsa,2.9,vega,,Vega,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Cereal VEGA Hojuelas Azucaradas Bolsa 140g,S/ 2.90,vega,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:17:08.620683,140.0,g,Cereal VEGA Hojuelas Azucaradas Bolsa,2.9,vega,,Vega,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Cereal VEGA Bolitas Sabor a Chocolate Bolsa 140g,S/ 2.90,vega,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:17:08.620683,140.0,g,Cereal VEGA Bolitas Sabor a Chocolate Bolsa,2.9,vega,,Vega,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Yogur Battimix GLORIA Vainilla con Hojuelas Va...,S/ 3.10 un,plaza_vea,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:11:00.538759,144.0,g,Yogur BattimiLORIA Vainilla con Hojuelas Va,3.1,plaza_vea,Vaso 144g,,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Camote Morado Procesado x kg,S/ 3.19 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,Camote Morado Procesado,3.19,wong,,,CEREALES PROCESADOS SIMPLES (HOJUELAS)
Camote Amarillo Procesado Wong x kg,S/ 3.19 x kg,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,1.0,kg,Camote Amarillo Procesado Wong,3.19,wong,,,CEREALES PROCESADOS SIMPLES (HOJUELAS)
