description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Galletas Doña Pepa 23g,S/ 1.30,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,23.0,g,1.3,metro,,,GALLINA EVISCERADA
Galletas Crackelet Snack Jamón Ahumado 47 g,S/ 1.30,wong,GALLINA EVISCERADA,2024-12-04 18:45:05.111169,47.0,g,1.3,wong,,,GALLINA EVISCERADA
Galletas Saladas FIELD Cream Cracker Paquete 7...,S/ 1.40 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,5.0,g,1.4,plaza_vea,"Paquete 73,5g",,GALLINA EVISCERADA
Galletas Saladas RITZ Mini Original Bolsa 50g,S/ 1.50 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,50.0,g,1.5,plaza_vea,Paquete 50 g,,GALLINA EVISCERADA
Galletas Saladas RITZ sabor Original Paquete 5...,S/ 1.50 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,5.0,g,1.5,plaza_vea,"Paquete 52,5g",,GALLINA EVISCERADA
Galletas Saladas Ritz Mini 50g,S/ 1.50,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,50.0,g,1.5,metro,,,GALLINA EVISCERADA
Sopa Instantánea AJINOMEN Sabor a Gallina Picante Bolsa 80g,S/ 1.60,vega,GALLINA EVISCERADA,2024-12-04 13:22:50.840341,80.0,g,1.6,vega,,Ajinomen,GALLINA EVISCERADA
Sopa instantánea AJINOMEN Gallina criolla Bols...,S/ 1.60 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,80.0,g,1.6,plaza_vea,Bolsa 80g,,GALLINA EVISCERADA
Sopa con Fideos Instantánea Ajinomen Sabor Gallina Light 80g,S/ 1.60,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,80.0,g,1.6,metro,,,GALLINA EVISCERADA
Galletas Fruta Mixta Bolsa 60 g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-04 18:45:05.111169,60.0,g,1.6,wong,,,GALLINA EVISCERADA
Sopa Instantánea AJINOMEN Sabor a Gallina Bolsa 80g,S/ 1.60,vega,GALLINA EVISCERADA,2024-12-04 13:22:50.840341,80.0,g,1.6,vega,,Ajinomen,GALLINA EVISCERADA
Sopa Instantánea Ajinomen Sabor Gallina 80g,S/ 1.60,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,80.0,g,1.6,metro,,,GALLINA EVISCERADA
Sopa Instántanea AJINOMEN Sabor a Gallina Bols...,S/ 1.60 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,80.0,g,1.6,plaza_vea,Bolsa 80g,,GALLINA EVISCERADA
Sopa Instántanea AJINOMEN Sabor a Gallina Pica...,S/ 1.60 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,80.0,g,1.6,plaza_vea,Bolsa 80g,,GALLINA EVISCERADA
Sopa de Gallina Picante con Fideos Ajinomen Sobre 80 g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-04 18:45:05.111169,80.0,g,1.6,wong,,,GALLINA EVISCERADA
Sopa instantánea AJINOMEN Gallina criolla Bolsa 80Gr,S/ 1.60,vivanda,GALLINA EVISCERADA,2024-12-04 17:25:02.309503,80.0,g,1.6,vivanda,,AJINOMEN,GALLINA EVISCERADA
Sopa Instantánea Ajinomen Sabor Gallina 80g,S/ 1.60,wong,GALLINA EVISCERADA,2024-12-04 18:45:05.111169,80.0,g,1.6,wong,,,GALLINA EVISCERADA
Galletas Morochas Snack 46g,S/ 1.70,wong,GALLINA EVISCERADA,2024-12-04 18:45:05.111169,46.0,g,1.7,wong,,,GALLINA EVISCERADA
Galletas de Vainilla SAN JORGE Paquete 120g,S/ 1.70 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,120.0,g,1.7,plaza_vea,Paquete 120g,,GALLINA EVISCERADA
Galletas Animalitos SAN JORGE Bolsa 150g,S/ 1.80 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,150.0,g,1.8,plaza_vea,Bolsa 150g,,GALLINA EVISCERADA
Galletas Soda San Jorge Paquete 75 g,S/ 1.80,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,75.0,g,1.8,metro,,,GALLINA EVISCERADA
Sopa Instantánea Ajinomen Sabor Gallina Picante 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9,tottus,,AJINOMOTO,GALLINA EVISCERADA
Sopa Instantánea Ajinomen Gallina Light 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9,tottus,,AJINOMOTO,GALLINA EVISCERADA
Galletas Soda San Jorge Paquete 75 g,S/ 1.90,wong,GALLINA EVISCERADA,2024-12-04 18:45:05.111169,75.0,g,1.9,wong,,,GALLINA EVISCERADA
Galletas Chips Ahoy Mini Original 50g,S/ 1.90,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,50.0,g,1.9,metro,,,GALLINA EVISCERADA
Galletas Travesuras 50g,S/ 1.90,metro,GALLINA EVISCERADA,2024-12-04 21:01:48.981335,50.0,g,1.9,metro,,,GALLINA EVISCERADA
Sopa Instantánea Ajinomen Sabor gallina 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9,tottus,,AJINOMOTO,GALLINA EVISCERADA
Galletas CHIPS AHOY! Mini Original Bolsa 50g,S/ 1.90 un,plaza_vea,GALLINA EVISCERADA,2024-12-04 13:17:52.650129,50.0,g,1.9,plaza_vea,Bolsa 50g,,GALLINA EVISCERADA
