unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Presentación 0.6 kg aprox.,Carne Molida de Res Empacada al vacío EL BUEN ...,S/ 19.80 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.6,kg,19.8
Presentación 0.8 kg aprox.,Bisteck de Res EL BUEN CORTE,S/ 39.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.8,kg,39.9
Presentación 1.5 kg aprox.,Pechuga Especial de Pollo Empacada al vacío SA...,S/ 17.50 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.5,kg,17.5
Presentación 0.6 kg aprox.,Carne Molida Light de Res Empacada al vacío EL...,S/ 34.80 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.6,kg,34.8
Presentación 1.2 kg aprox.,Filete Pechuga Corte Mariposa Empacada al vací...,S/ 25.40 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.2,kg,25.4
Presentación 1 kg aprox.,Muslo de Pollo Empacada al vacío SAN FERNANDO,S/ 16.49 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.0,kg,16.49
Presentación 1.2 kg aprox.,Pechuga Entera de Pollo Empacada al vacío SAN ...,S/ 14.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.2,kg,14.9
Presentación 1.3 kg aprox.,Pierna con Encuentro de Pollo Empacada al vací...,S/ 13.50 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.3,kg,13.5
Presentación 0.9 kg aprox.,Hígado de pollo Empacada al vacío SAN FERNANDO,S/ 8.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.9,kg,8.9
Presentación 1.2 kg aprox.,Sasami de Pollo Empacada al vacío SAN FERNANDO,S/ 24.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.2,kg,24.9
Presentación 0.9 kg aprox.,Corazón de Pollo Empacada al vacío SAN FERNAND...,S/ 12.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.9,kg,12.9
