brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Tabernero,Chilcano TABERNERO BAR Maracuyá Botella 275 ml,S/ 5.90 16%,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,275.0,ml,5.9
Tabernero,Chilcano Bar TABERNERO Limón Botella 275 ml,S/ 5.90 16%,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,275.0,ml,5.9
Volt,Bebida Energizante VOLT Gingseng Sin Azúcar Paquete 12u Botella 300ml,,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,300.0,ml,
Old Times,Whisky OLD TIME Red Botella 750ml,S/ 20.90,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,750.0,ml,20.9
Bahia,Mojito BAHIA Lata 355ml,S/ 6.90,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,355.0,ml,6.9
Bahia,Piña Colada BAHIA Lata 355ml,S/ 6.90,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,355.0,ml,6.9
LUCKY STRIKE,Cigarros LUCKY STRIKE Red Cajetilla 20un,S/ 17.20,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,20.0,un,17.2
OLD TIME,Whisky OLD TIMES Red Botella 1L,S/ 26.90,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,1.0,l,26.9
Fini,Masticable Re galiz FINI Tutti Frutti Ácido Bolsa 80 g,S/ 4.20,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,80.0,g,4.2
Fini,Masticable Re galiz FINI Fresa Ácida Bolsa 80 g,S/ 4.20,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,80.0,g,4.2
