description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Piña Golden Wong x kg,S/ 5.69 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,5.69
Piña Madura Golden x kg,S/ 9.89 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,9.89
Piña Orgánica Golden x kg,S/ 12.49 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,12.49
Piña en Rodajas Golden 700g,S/ 19.90,wong,PIÑA,2024-12-04 19:43:13.516552,700.0,g,19.9
Piña en Trozos Golden 500g,S/ 13.49,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,g,13.49
Piña en Trozos Golden 350g,S/ 8.99,wong,PIÑA,2024-12-04 19:43:13.516552,350.0,g,8.99
Piña Golden en Trozos Congelada El Frutero 1kg,S/ 13.59,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,13.59
Piña Golden en Trozos Congelados 1kg,S/ 16.99,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,16.99
Piña para Jugo x kg,S/ 2.75 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,2.75
Piñas en Rodajas Cuisine & Co 565g,S/ 6.90,wong,PIÑA,2024-12-04 19:43:13.516552,565.0,g,6.9
Piña en Rodajas Bali Lata 567 g,S/ 12.20,wong,PIÑA,2024-12-04 19:43:13.516552,567.0,g,12.2
Piña en Rodajas Bali Lata 227 g,S/ 7.09,wong,PIÑA,2024-12-04 19:43:13.516552,227.0,g,7.09
Piña en Trozos Bali Lata 567 g,S/ 12.20,wong,PIÑA,2024-12-04 19:43:13.516552,567.0,g,12.2
Piña Golden en trozos La Dulcesita Bandeja 400 g,S/ 6.99,wong,PIÑA,2024-12-04 19:43:13.516552,400.0,g,6.99
Piña Deshidratada Sufrut 200g,S/ 33.50,wong,PIÑA,2024-12-04 19:43:13.516552,200.0,g,33.5
Piña en Trozos Congelada Fest 500g,S/ 8.99,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,g,8.99
Piña Golden en trozos La Dulcesita Bandeja 200 g,S/ 4.49,wong,PIÑA,2024-12-04 19:43:13.516552,200.0,g,4.49
Piña Hawai en Trozos Congelados 1kg,S/ 13.99,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,13.99
Piñas en Rodajas Best Food 565g,S/ 12.20,wong,PIÑA,2024-12-04 19:43:13.516552,565.0,g,12.2
Piña Deshidratada en Trozos Golden x kg,S/ 118.00 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,118.0
Piña Deshidratada Golden x kg,S/ 219.50 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,219.5
Piña Deshidratada Go Barman 60g,S/ 19.90,wong,PIÑA,2024-12-04 19:43:13.516552,60.0,g,19.9
Gelatina Diet Universal Piña Caja 19 g,S/ 3.80,wong,PIÑA,2024-12-04 19:43:13.516552,19.0,g,3.8
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,S/ 12.00,wong,PIÑA,2024-12-04 19:43:13.516552,900.0,g,12.0
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,15.72
Bebida de Piña Gloria Caja 1L,S/ 3.90,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,l,3.9
Sixpack Agua Sin Gas Sabor Piña con Kión San Luis Botella 625ml,S/ 11.00,wong,PIÑA,2024-12-04 19:43:13.516552,625.0,ml,11.0
Pack x3 Agua de Piña Light Golden Botella 485ml,S/ 10.99,wong,PIÑA,2024-12-04 19:43:13.516552,485.0,ml,10.99
Tripack Bebida Instantánea Clight Sin Calorías Sabor Piña 14g,S/ 5.00,wong,PIÑA,2024-12-04 19:43:13.516552,14.0,g,5.0
Bebida Sabor Piña con Kión San Luis Botella 625ml,S/ 2.20,wong,PIÑA,2024-12-04 19:43:13.516552,625.0,ml,2.2
Gelatina Universal de Piña Sobre 130g,S/ 4.10,wong,PIÑA,2024-12-04 19:43:13.516552,130.0,g,4.1
Gelatina en Polvo Royal Sabor Piña 160g,S/ 5.20,wong,PIÑA,2024-12-04 19:43:13.516552,160.0,g,5.2
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,wong,PIÑA,2024-12-04 19:43:13.516552,340.0,g,9.49
Gelatina Diet Universal con Stevia Piña Caja 19g,S/ 5.20,wong,PIÑA,2024-12-04 19:43:13.516552,19.0,g,5.2
Sixpack Bebida Sabor Piña con Kión San Luis Botella 625ml,S/ 13.20,wong,PIÑA,2024-12-04 19:43:13.516552,625.0,ml,13.2
Gelatina Sin Azúcar Cuisine & Co Sabor Piña 19g,S/ 2.90,wong,PIÑA,2024-12-04 19:43:13.516552,19.0,g,2.9
Gaseosa Sabor Piña Concordia Pack 6 Botellas de 500ml c/u,S/ 10.60,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,ml,10.6
Origens Comida para Gatos Filete de Atún con Piña Lata 85 g,S/ 7.80,wong,PIÑA,2024-12-04 19:43:13.516552,85.0,g,7.8
Bebida en Polvo Clight Sin Calorías Sabor Piña 14g,S/ 2.30,wong,PIÑA,2024-12-04 19:43:13.516552,14.0,g,2.3
Agua de Piña con Arándanos Light Golden 1L,S/ 11.99,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,l,11.99
Jugo Cold Pressed de Piña Ecofresh Botella 1L,S/ 14.50,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,l,14.5
Té Verde Sabor a Piña con Stevia Wawasana 50un,S/ 17.00,wong,PIÑA,2024-12-04 19:43:13.516552,50.0,un,17.0
Yogurt Griego Vakimu Piña 500g,S/ 7.92,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,g,7.92
Mermelada de Piña Cuisine & Co Frasco 370 g,S/ 8.30,wong,PIÑA,2024-12-04 19:43:13.516552,370.0,g,8.3
Infusión de Jamaica y Piña Sunka 20un,S/ 9.90,wong,PIÑA,2024-12-04 19:43:13.516552,20.0,un,9.9
Pack x3 Gelatina en Polvo Royal Sabor Piña Sobre 160g,S/ 10.90,wong,PIÑA,2024-12-04 19:43:13.516552,3.0,g,10.9
Mermelada de Piña Diet Crema & Nata frasco 330 g,S/ 34.90,wong,PIÑA,2024-12-04 19:43:13.516552,330.0,g,34.9
Suplemento Nutricional Nopal Flax con Piña Adelgazante 454g,S/ 44.90,wong,PIÑA,2024-12-04 19:43:13.516552,454.0,g,44.9
Bebida Kero Aloe Vera Sabor Piña Botella 300ml,S/ 3.20,wong,PIÑA,2024-12-04 19:43:13.516552,300.0,ml,3.2
"King Kong de Manjarblanco, Piña y Maní Caja 450 g",S/ 29.20,wong,PIÑA,2024-12-04 19:43:13.516552,450.0,g,29.2
Barras Energéticas Siete Dragones Coco y Piña 5un,S/ 20.40,wong,PIÑA,2024-12-04 19:43:13.516552,5.0,un,20.4
Bebida de Piña y Mandarina Frugos del Valle Caja 1L,S/ 4.50,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,l,4.5
Bebida Naturale Agua de Piña Golden Botella 500ml,S/ 4.90,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,ml,4.9
Mermelada de Piña y Yacón Orgánica Ecoandino 240g,S/ 20.70,wong,PIÑA,2024-12-04 19:43:13.516552,240.0,g,20.7
"Bebida de Naranja, Piña y Camu Camu Kero Botella 475ml",S/ 5.90,wong,PIÑA,2024-12-04 19:43:13.516552,475.0,ml,5.9
Mermelada Dietética de Piña Frasco 250 g,S/ 11.20,wong,PIÑA,2024-12-04 19:43:13.516552,250.0,g,11.2
Gelatina Universal de Piña 38g,S/ 2.60,wong,PIÑA,2024-12-04 19:43:13.516552,38.0,g,2.6
Sixpack Bebida Frugos del Valle Piña Mandarina Caja 235ml,S/ 7.90,wong,PIÑA,2024-12-04 19:43:13.516552,235.0,ml,7.9
Snack de Piña Deshidratada Snack Fruits 50g,S/ 9.60,wong,PIÑA,2024-12-04 19:43:13.516552,50.0,g,9.6
"King Kong de Manjarblanco, Piña y Maní Caja 75 g",S/ 6.70,wong,PIÑA,2024-12-04 19:43:13.516552,75.0,g,6.7
Mermelada de Piña Pote 350 g,S/ 7.90,wong,PIÑA,2024-12-04 19:43:13.516552,350.0,g,7.9
Agua de Piña Light Golden 485ml,S/ 5.00,wong,PIÑA,2024-12-04 19:43:13.516552,485.0,ml,5.0
Gelatina Umsha Sabor Piña 120g,S/ 3.50,wong,PIÑA,2024-12-04 19:43:13.516552,120.0,g,3.5
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,15.72
Gelatina Sin Azúcar Cuisine & Co Sabor Piña 19g,S/ 3.50,wong,PIÑA,2024-12-04 19:43:13.516552,19.0,g,3.5
"King Kong de Manjarblanco, Piña y Maní Caja 900 g",S/ 48.20,wong,PIÑA,2024-12-04 19:43:13.516552,900.0,g,48.2
Infusión Piña Sunka Caja 20 unid,S/ 7.00,wong,PIÑA,2024-12-04 19:43:13.516552,20.0,un,7.0
Trifruna Chicha Manza Piña Ambrosoli Contenido 420 g,S/ 9.90,wong,PIÑA,2024-12-04 19:43:13.516552,420.0,g,9.9
Pulpa Congelada de Piña Natifrut 250g,S/ 5.20,wong,PIÑA,2024-12-04 19:43:13.516552,250.0,g,5.2
Gelatina Bebible Umsha Frutísimos Sabor Piña 20g,S/ 1.60,wong,PIÑA,2024-12-04 19:43:13.516552,20.0,g,1.6
Néctar de Piña Selva Botella 900 ml,S/ 7.90,wong,PIÑA,2024-12-04 19:43:13.516552,900.0,ml,7.9
Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella 1.8L,S/ 19.90,wong,PIÑA,2024-12-04 19:43:13.516552,1.8,l,19.9
King Kong de Manjarblanco y Piña Caja 75 g,S/ 6.70,wong,PIÑA,2024-12-04 19:43:13.516552,75.0,g,6.7
Refresco Instantáneo Sabor Piña Sobre 15 g,S/ 1.20,wong,PIÑA,2024-12-04 19:43:13.516552,15.0,g,1.2
Gaseosa Fanta Piña Botella 3L,S/ 6.90,wong,PIÑA,2024-12-04 19:43:13.516552,3.0,l,6.9
Jugo Cold Pressed de Piña Ecofresh Botella 475ml,S/ 7.90,wong,PIÑA,2024-12-04 19:43:13.516552,475.0,ml,7.9
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",S/ 2.10,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,ml,2.1
Bebida Aloe Vera King Piña 500ml Okf,S/ 4.90,wong,PIÑA,2024-12-04 19:43:13.516552,500.0,ml,4.9
Agua de Piña Golden 1L,S/ 8.80,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,l,8.8
Gaseosa Concordia Sabor Piña Botella 3 Litros,S/ 7.10,wong,PIÑA,2024-12-04 19:43:13.516552,3.0,l,7.1
Tripack Agua de Piña Light con Arándanos Golden Botella 485ml,S/ 13.00,wong,PIÑA,2024-12-04 19:43:13.516552,485.0,ml,13.0
Tarta de Piña 10 Porciones,S/ 32.90,wong,PIÑA,2024-12-04 19:43:13.516552,10.0,un,32.9
Mazamorra de Piña Universal Bolsa 150 g,S/ 3.90,wong,PIÑA,2024-12-04 19:43:13.516552,150.0,g,3.9
Té Verde Sabor a Piña Wawasana 20un,S/ 9.90,wong,PIÑA,2024-12-04 19:43:13.516552,20.0,un,9.9
Gaseosa Fanta Piña Lata 355 ml,S/ 6.90,wong,PIÑA,2024-12-04 19:43:13.516552,355.0,ml,6.9
Gelatina Zana Sabor Piña 50g,S/ 9.40,wong,PIÑA,2024-12-04 19:43:13.516552,50.0,g,9.4
King Kong de Manjarblanco y Piña Caja 450 g,S/ 29.20,wong,PIÑA,2024-12-04 19:43:13.516552,450.0,g,29.2
Néctar de Piña Bajo en Calorías Ecofresh Botella 1L,S/ 12.60,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,l,12.6
Enrollado de Cerdo con Jamón y Piña Alamesa x kg,S/ 38.90 x kg,wong,PIÑA,2024-12-04 19:43:13.516552,1.0,kg,38.9
King Kong de Manjarblanco y Piña Caja 900 g,S/ 48.20,wong,PIÑA,2024-12-04 19:43:13.516552,900.0,g,48.2
Agua de Piña Golden 485ml,S/ 5.29,wong,PIÑA,2024-12-04 19:43:13.516552,485.0,ml,5.29
Luces Krea F8 Led Piñas Colores 50un,S/ 22.00,wong,PIÑA,2024-12-04 19:43:13.516552,8.0,l,22.0
Torta Tres Leches de Piña Colada Cuisine & Co 10 Porciones,S/ 51.90,wong,PIÑA,2024-12-04 19:43:13.516552,10.0,un,51.9
Fourpack Gelatina Yopi Sabor Piña 120g,S/ 8.50,wong,PIÑA,2024-12-04 19:43:13.516552,120.0,g,8.5
"Pulpa Congelada de Acaí, Arándano y Piña Golden Berries del Perú 200g",S/ 10.96,wong,PIÑA,2024-12-04 19:43:13.516552,200.0,g,10.96
Bebida de Piña y Granadilla Golden Botella 485ml,S/ 4.50,wong,PIÑA,2024-12-04 19:43:13.516552,485.0,ml,4.5
Pack x3 Agua de Piña Golden Botella 485ml,S/ 11.89,wong,PIÑA,2024-12-04 19:43:13.516552,485.0,ml,11.89
